title,description,views,likes,dislikes,comments,tags
"Tridibesh, Anthropology Research Student","Second year PhD student Tridibesh talks about his research and the opportunities he has enjoyed so far such as assisting in departmental teaching in Anthropology and playing an active role in the research community.
Find out more about our research degrees - http://www.exeter.ac.uk/pg-research/degrees/sociology/",150,4,0,0,"PhD,Graduate studies,anthropology,exeter,university of exeter,research degrees"
"Aimee, Sociology Research Student","Aimee talks about her research into second-trimester pregnancy loss and her experiences so far as a research student who has returned to academia after spending time in the workplace following the completion of her undergraduate studies.
http://www.exeter.ac.uk/pg-research/degrees/sociology/",123,0,0,0,"PhD,Graduate studies,exeter,sociology,university of exeter"
"Sophie, Trainee on Placement","Sophie talks about her experiences on placement in a secondary school in Dorset and gives some top tips for trainees heading out on their own placements.
Find out more about our teacher training programmes - https://www.exeter.ac.uk/teachertraining/",138,1,0,0,"pgce,teacher training,graduate school of education,school placements,graduate studies,teaching"
Dr Annabel Watson talks about the school-based placements,"Annabel talks about the wide range of placement schools our trainees work in and the various ways in which we work with schools and teachers.
Find out more about our teacher training programmes - https://www.exeter.ac.uk/teachertraining/",97,2,0,0,"school placements,teacher training,pgce,graduate studies,exeter,st lukes,graduate school of education"
John Whitehead. ITEC supporting Schools and Mentors,"John explains what his role involves, how he selects departments and what makes a great mentor for trainees.
Find out more about our teacher training programmes - https://www.exeter.ac.uk/teachertraining/",67,2,0,0,"ITEC,graduate studies,teacher training,exeter,graduate school of education,EdD,PhD,research"
"Professor David Hall, Graduate School of Education Director","Professor David Hall talks about the Graduate School of Education, one of the leading schools of education in the county, including our programmes, graduate destinations and our location on the beautiful St Lukes campus in Exeter.",327,3,0,0,"Graduate School of Education,exeter,teacher training,graduate studies,masters,EdD,st lukes"
Study our MSc Global Governance,"Dr Athanassios Gouglas talks about our MSc Global Governance, which equips students with the necessary tools to understand how key global challenges are addressed by numerous global actors and institutions in the absence of a world government
https://www.exeter.ac.uk/postgraduate/taught/politics/globalgovernancemsc/",281,4,0,0,"global governance,international relations,masters,msc,global,exeter,postgraduate,cpd,university of exeter"
Antimicrobial animation,"Pilot animation developed for rural aquaculture farmers in Bangladesh, to help reduce unnecessary antibiotic usage.  There is also a Bangla version https://youtu.be/VwW99puIvws.  We hope to develop more episodes in this series, which will gradually introduce the importance of bacteria (both good and bad) and the risks that antibiotic resistance poses to human health.",76,1,0,0,
Antimicrobial animation,"অপ্রয়োজনীয় এন্টিবায়োটিকের ব্যবহার কমানোর লক্ষ্যে, বাংলাদেশের গ্রামীন মৎস্য চাষীদের জন্য পরীক্ষামূলকভাবে এই এনিমেশন তৈরী করা হয়েছে। এই ধারাবাহিকতায় আমরা আরও পর্ব  নির্মাণে আশাবাদী, যা ক্রমান্বয়ে ব্যকটেরিয়া (খারাপ এবং ভালো), এবং এর এন্টিবায়োটিক প্রতিরোধ ক্ষমতা মানব স্বাস্থের জন্য যে ঝুকি তৈরী করছে তা বর্ণনা করবে।",64,5,0,0,
PgCert Genomic Medicine online,"The University of Exeter's Postgraduate Certificate PgCert online in Genomic Medicine is an innovative fully online programme in which you will learn about the integration of genomics into patient care. This online programme has been developed from our successful and well-established MSc Genomic Medicine, as part of the ambitious 100,000 Genomes Project. There is also the flexibility to combine modules from the existing MSc and from this fully online programme. Find out more at: http://www.exeter.ac.uk/postgraduate/taught/medicine/genomicsonline/",9207,2,0,1,"Genomics,online study,postgraduate,PgCert,Medicine,100 Genomes project,research"
Harriett Goodrich ‘Optimising Diets for Sustainable Aquaculture’- 3 Minute Thesis 2018 Winner,"Harriett Goodrich was the winner of our Three Minute Thesis Competition Winner 2018. This is her thesis about  ‘Optimising Diets for Sustainable Aquaculture’.

Find out more about PhD research at Exeter: www.exeter.ac.uk/doctoralcollege",183,3,0,0,"thesis,aquaculture,sustainable aquaculture,PhD,University,research,doctoral,university of exeter,exeter uni,exeter university"
MSc Conservation and Biodiversity,Find out more from staff and students about the MSc Conservation and Biodiversity programme.,513,3,0,0,
Study with the Exeter Law School,Visit https://www.exeter.ac.uk/undergraduate/degrees/law/,1350,10,0,0,"law,exeter,llb,penryn,cornwall"
Tour of the University of Exeter with our students,"Take a look around our Streatham Campus in Exeter with three of our current Engineering students. Filmed during one of our offer-holder visit days in March 2019, this video will give you an insight into life at Exeter from the perspective of our students. Let us know what you think!",11856,132,5,5,"student life,university of exeter,uni of exeter,exeter uni,exeter university,mathematics,physics,engineering,computer science,cemps,college of engineering,undergraduate,open day,offer holder visit day,offer holder,a-levels,accommodation,uni accommodation,exeter accommodation,student life at exeter,exeter sports park,uni of exeter sports park"
Studying Maths at the University of Exeter,"Current first year Mathematics student, Scarlett talks about the jump from school to university.",381,13,0,0,"mathematics,a-levels,undergraduate,university of exeter,maths,further maths,sixth form,mathematics at Exeter,exeter uni,university,student life,university life,clearing,university clearing,Math"
MA International Education,"Programme Director Dr George Koutsouris introduces the MA International Education.

Find out more at http://www.exeter.ac.uk/postgraduate/taught/education/",246,1,0,2,"exeter,ma international education,masters,ma education,Graduate school"
MSc Extreme Medicine testimonial - Adam,"Current student, Adam, discusses his thoughts on the MSc Extreme Medicine programme from the World Extreme Medicine conference.",94,1,0,0,"extreme medicine,adventure medicine,emergency medicine,postgraduate medicine"
MA Education at Exeter,Find out more at http://www.exeter.ac.uk/postgraduate/taught/education/,498,4,1,1,"ma education,education,masters,professional development,International education,exeter"
MA Creative Arts in Education,"The MA Education is designed to enhance your professional practice and help you make improvements which will make a positive difference either within the classroom or your particular work environment.

Find out more at http://www.exeter.ac.uk/postgraduate/taught/education/",456,5,0,0,"ma education,education,creative arts,masters,exeter"
MA Education Leadership and Management,"Programme Director Professor David Hall introduces the MA Education Leadership and Management.
Find out more at http://www.exeter.ac.uk/postgraduate/taught/education/",414,3,0,0,"ma education,leadership and management,exeter,masters,education"
MSc Extreme Medicine testimonial - Rebecca (Midwife),"Hear from Rebecca, a midwife on the MSc Extreme Medicine course, speak from the World Extreme Medicine Conference about how the programme has benefited her career.",176,3,0,0,"extreme medicine,postgraduate medicine,expedition medicine,adventrure medicine,emergency medicine,University of Exeter,Exeter Uni,Exeter,Exeter University,Study in the UK,University in the UK,Universities in the UK,UK university,Top ranked universities,University,What is uni like,masters,medicine masters"
MSc Data Science at the University of Exeter,"Current MSc Data Science students join programme director, Hywel Williams in The Deck to discuss their favourite parts of the MSc programme and their plans for the future",411,7,0,1,"Data Science,Computer Science,Masters,postgraduate,postgraduate study,data science masters,computer science masters,MSc Data Science,masters at exeter,Data Science at Exeter,university of exeter,uni of exeter,exeter uni,exeter university,student life,msc data science uk,data science uk"
The Living Systems Institute at University of Exeter,"Showcasing some of the outstanding work our highly talent group of scientists are doing to make a difference in the areas of medicine, diagnostics and fundamental aspects of biology within the Living Systems Institute.",686,8,1,0,
The Career Mentor Scheme,Hear how an experienced professional can support your career development.,685,5,1,1,"careers,mentoring,career development"
"""The Spotlight"" - Sport at the University of Exeter","""Lucem sequimur"" (We Follow The Light) - University of Exeter

With thanks to sports reporter, presenter, author, endurance runner and University of Exeter alumnus Vassos Alexander (Russian, 1996). 

Footage courtesy of Exeter Athletic Union, TruthFal, Richard Maskey, the Royal Yachting Association and World Sailing.

www.exeter.ac.uk/sport
www.exeter.ac.uk/alumnisport",335,2,0,0,"university of exeter,exeter uni,exeter university,student sport,university sport,alumni,student,studying,university,student life,campus life,exeter alumni"
'The Spotlight' - Sport at the University of Exeter,"""Lucem sequimur"" (We Follow The Light) - University of Exeter

With thanks to sports reporter, presenter, author, endurance runner and University of Exeter alumnus Vassos Alexander (Russian, 1996). 

Footage courtesy of Exeter Athletic Union, TruthFal, Richard Maskey, the Royal Yachting Association and World Sailing.

Support sporting success at Exeter and help the next generation own the spotlight.
www.exeter.ac.uk/exceptional",2556,11,3,0,"university of exeter,exeter sport,university sport,exeter alumni,Vassos Alexander,#bleedgreen,sport,alumni,sport scholarship,exeter university,exeter uni,campus life,student life,student sport"
New Living Systems Institute (LSI) Director,"Listen to Deputy Vice-Chancellor (Research and Impact), Professor Neil Gow FRS, talk about what we are looking for from our new LSI Director. For more details and to apply visit http://exeter.ac.uk/livingsystems/directorvacancy",453,3,1,0,
William's Story: Life as a Politics and International Relations Masters student at Exeter,We asked William what life was like studying one of our Masters programmes. Learn more about Masters study at the University of Exeter on our website: www.exeter.ac.uk/postgraduate/taught/politics,112,1,0,0,"ma,masters student,politics,international relations,postgraduate,masters,student life"
Terri's Story: Life as a Politics and International Relations Masters student at Exeter,We asked Terri what life was like studying one of our Masters programmes. Learn more about Masters study at the University of Exeter on our website: www.exeter.ac.uk/postgraduate/taught/politics,112,4,0,0,"masters,ma,student life,exeter,politics masters,university of exeter,postgraduate"
Jaume's Story: Life as a Politics and International Relations Masters student at Exeter,We asked Jaume what life was like studying one of our Masters programmes. Learn more about Masters study at the University of Exeter on our website: www.exeter.ac.uk/postgraduate/taught/politics,80,1,0,0,"politics masters,ma,exeter,university of exeter,student life"
Jacky's Story: Life as a Politics and International Relations Masters student at Exeter,We asked Jacky what life was like studying one of our Masters programmes. Learn more about Masters study at the University of Exeter on our website: www.exeter.ac.uk/postgraduate/taught/politics,39,0,0,0,"politics masters,exeter,university of exeter,ma,student life"
Hannah’s Story: Life as a Politics and International Relations Masters student at Exeter,We asked Hannah what life was like studying one of our Masters programmes. Learn more about Masters study at the University of Exeter on our website: www.exeter.ac.uk/postgraduate/taught/politics,136,1,0,0,"Politics masters,exeter,university of exeter,ma,student life"
Natural Sciences at the University of Exeter,Find out more about what's it like to study Natural Sciences at Exeter. Learn more at http://www.exeter.ac.uk/undergraduate/degrees/natural-sciences/,823,7,0,0,"exeter uni,university of exeter,natural sciences,science at university,biology,chemistry,physics,computer science,science,exeter university,studying,study,student life,campus life,undergraduate,clearing,university clearing,clearing 2019,exeter uni clearing"
"Kenya field course – Postgraduate Biosciences on the Penryn Campus, Cornwall","Each year students on our postgraduate programmes in Biosciences head to Africa for a 2 week field course. Here are some of the highlights from their trip in January 2019. 

Learn more about our postgraduate Biosciences programmes: http://www.exeter.ac.uk/postgraduate/taught/biosciences/conservation/

Thank you to all of the students who submitted footage for this video.",333,2,0,0,"University of Exeter,Exeter University,Brendan Godley,Exeter Uni,Biosciences,Masters programmes,Study in the UK,Field course,Fieldcourse,Fieldtrip,Kenya,Ecology,Conservation,Biodiversity,University of Exeter Penryn,University of Exeter Cornwall campus,Biology,Wildlife,World Wildlife Day,Safari,Masters,MSc"
Lovelock Centenary Event Invite,"The Global Systems Institute is delighted to invite you to a conference on “The Future of Global Systems Thinking: Celebrating James Lovelock’s Centenary”, 29–31 July 2019 at the University of Exeter.

The event will celebrate the 100th birthday of James Lovelock by taking his pioneering approach to thinking about the Earth as a living system and exploring how we can apply it to help create a better future.

Lovelock’s quest to understand the whole earth system sparked the development of Earth System Science and stimulated a generation of environmental scientists. We invite all those who have been inspired or provoked by Lovelock’s work to come together to explore Earth system thinking, and how it can help a transition towards global sustainability.

The meeting will address the history and current state of Earth system thinking and approaches to applying it. This will include the concept of Gaia 2.0 which explores how humans may collectively add self-awareness to the Earth’s natural self-regulation systems. Gaia 2.0 is central to the Global Systems Institute which is a new interdisciplinary research, teaching, and engagement endeavour at the University of Exeter.

The conference will bring together representatives from across academic disciplines (science, engineering, social science, humanities and the arts) with organisations committed to transformations to environmental sustainability.

Jim Lovelock will be interviewed and do a question-and-answer session as part of the overall meeting. There will be keynote talks, panel discussions, break-out workshops and poster sessions for attendees to present their ideas. The conference takes place at the University of Exeter. Further details, including the conference programme, will be published soon.

#Lovelock100 www.lovelockcentenary.info",549,2,0,0,"climate,climate change,climate science,gaia,james lovelock,lovelock,global systems,global systems institute,lovelock100,exeter,conference,science,environment"
Chinese New Year celebrations at the University of Exeter,"Here's a glimpse of our Chinese New Year event to celebrate the Year of the Pig. 


Thanks to current student Victoria Dyczka for creating this video of the event.

Music: ""The Loyalist - Lotus Lane"" by Preconceived Notions is licensed under a  Creative Commons License.
Music promoted by BreakingCopyright: https://youtu.be/Ivix4rTlXhU",334,13,1,1,"University of Exeter,Exeter University,Exeter Uni,Exeter,Chinese New Year in the UK,Lunar New Year,CNY 2019,Year of the pig,international students,study in the uk,international community,study uk,international students uk,campus celebrations"
Professor Harry West discusses his research and our exciting MA in Food Studies,Learn more about our MA in Food Studies by visiting our website: www.exeter.ac.uk/postgraduate/taught/sociology/food-studies-ma,242,2,0,0,"ma,food studies,exeter,crpr,food heritage"
Matt Lobley talks about the Centre for Rural Policy Research (CRPR),"Matt  Lobley talks about the Centre for Rural Policy Research (CRPR), members and their research interests.

Learn more about the Centre for Rural Policy Research (CRPR) by visiting our website - http://socialsciences.exeter.ac.uk/research/centres/crpr/",71,0,0,0,"masters,food studies,exeter,ma,postgraduate,rural policy"
Sanctuary Scholarships,"The University of Exeter has launched a Sanctuary Scholarships scheme, which is available for people who are seeking asylum, have limited leave to remain, ‘humanitarian protection’ or refugee status, and International Care Leavers.

We are determined to support these vulnerable people at a time when borders are closing around the world and ensure that they do not miss out on higher education. The Exeter Sanctuary Scholarships will cover the fees and living costs for displaced people who cannot access student finance and are denied the right to work.

You can support at www.exeter.ac.uk/donate",883,14,1,0,"sanctuary scholars,scholarships,university of exeter"
Making the Exceptional Happen - February 2019,"We've reached £50 million of our £60 million target! Thank you to everyone for the support!
Help us raise the last 10 at www.exeter.ac.uk/exceptional 
#ExeterForever",807,8,0,1,"philanthropy,fundraising,university,university of exeter,exeter,campaign"
Peer Support for Care Leavers and Estranged Students,Peer Support for Care Leavers and Estranged Students,104,2,0,0,"University of Exeter,Streatham,Peer,Support,Care,Leavers,Estranged,Students,wellbeing,help,exeter,mentoring"
Holocaust Memorial Day,"Hundreds of Devon teenagers and students witnessed the incredible courage of concentration camp survivor Mala Tribich during an event organised to mark Holocaust Memorial Day. 
Historians and other experts took part in the now annual conference, held at the University of Exeter and organised for the third time by final year history student Barnabas Balint.",347,3,3,0,university of exeter
Global Lives: Multicultural Geographies,Students discuss the ‘Global Lives’ modules that is available to second year students as part of the BA Geography programme.,271,2,0,0,"university of exeter,geography,global"
Winter graduation 2018 - ceremony 4,,108,0,0,0,
Winter graduation 2018 - ceremony 3,,149,1,0,0,
Winter graduation 2018 - ceremony 2,,134,0,0,0,
Winter graduation 2018 - ceremony 1,,265,0,0,0,
Considering family mediation? Here's how to mediate safely,"When is family mediation appropriate? What other options are available? Find out more about mediating safely with recommendations from the Mapping Paths to Family Justice Project.

The Mapping Paths to Family Justice Project aimed to provide critical evidence about the usage, experience and outcomes of Family Dispute Resolution (FDR) processes following separation.
Watch our video ‘Considering Mediation? What you need to know’ here: https://www.youtube.com/watch?v=RkTz_9AM3Mo
  
Read more about the project here: http://socialsciences.exeter.ac.uk/law/research/groups/frs/projects/mappingpathstofamilyjustice/",729,2,0,0,"family mediation,divorce,mediation,child arrangements,separation,considering family mediation,mediating safely"
Book your place on one of our Offer-Holder Visit Days today,University of Exeter - Book your place on one of our Offer-Holder Visit Days today,1570,5,0,0,"University of Exeter,Open Day,undergraduate"
What is a research proposal?,"Dr Simon Clark, former University of Exeter PhD student, talks about the importance of your research proposal, what it should include, and the key points you need to get across in order for it to be successful. 

Find out more about PhD research at Exeter: www.exeter.ac.uk/pg-research",3201,25,2,2,"PhD,University of Exeter,Exeter University,PhD study,Exeter,Postgraduate research,phd research proposal,phd research,simon clark,top ranked UK university,doctoral degree"
What is a research degree?,"Dr Simon Clark, former University of Exeter PhD student, talks about what a research degree is, what a UK PhD involves and why you should consider doing one. 

Find out more about PhD research at Exeter: www.exeter.ac.uk/pg-research",1208,11,1,0,"PhD,postgraduate research,masters by research,University of Exeter,Exeter University,phd research,phd or masters,Simon Clark,top ranked UK university"
Identifying a Supervisor for your PhD,"Dr Simon Clark, former University of Exeter PhD student, explains the role of the supervisor and how to go about finding one. 

Find out more about PhD research at Exeter: www.exeter.ac.uk/pg-research",1207,11,3,0,"PhD,University of Exeter,Exeter University,Exeter,Exeter Uni,PhD study,Simon Clark,phd research,phd supervisor,top ranked UK university"
Entry Requirements for a PhD,"Dr Simon Clark, former University of Exeter PhD student, talks about the academic and English language requirements required to undertake a PhD, and highlights the importance of other attitudes and skills in order to successfully complete a PhD.

Find out more about PhD research at Exeter: www.exeter.ac.uk/pg-research",1496,16,1,1,"PhD,PhD study,Simon Clark,University of Exeter,Exeter University,Postgraduate research,phd research"
Applying for a PhD,"Dr Simon Clark, former University of Exeter PhD student, takes you through the steps for how to apply for a PhD or other research degree at the University of Exeter. He highlights the two major application routes for PhD study: applying for a specific advertised project; or writing a research proposal for consideration by a potential supervisor.

Find out more about PhD research at Exeter: www.exeter.ac.uk/pg-research",2006,10,1,0,"postgraduate study,doctorate,simon clark,university of exeter,phd application,phd study,phd research,phd project,phd research proposal,doctoral degree,phd,top ranked university"
Creative Dialogues 'in-conversation series : Mark Kermode and Simon Mayo,"‘Creative Dialogues’ is a series of ‘in-conversation’ events, which brings a range of high-profile speakers who are leaders in their respective fields, from across the creative arts, journalism and the creative industries to Exeter. 

Join us for a Creative Dialogue featuring BBC radio broadcaster and author Simon Mayo, in conversation with Professor Mark Kermode, Chief Film Critic for the Observer. 

As part of the talk, Simon will be discussing his new book Mad Blood Stirring.",768,7,0,0,"Creative Dialogues,Simon Mayo,Mark Kermode,University of Exeter"
Budgeting while at University – Choose Exeter,"Find out more: http://www.exeter.ac.uk/chooseexeter
Budgeting is one of the hardest things to get used to while
living at University. Where can you find extra income? Where
can you save a little of your money? A little bit of inside
knowledge can help a lot.
Niamh and Lara are both second-year students at the University
of Exeter, living in private accommodation managing budgets
and University Life.",684,11,0,0,"university,uni,Exeter,London,University of Exeter,St Lukes,Streatham,Choose Exeter,South West,TEF,TEF Gold,student,campus,off campus,accommodation,residential,residence,vlog,class,shopping,research,degree,money,university fees,food,money tips,budgeting tips,job,employment,budget,support,opportunities,budgeting,social,friends,saving money,earn money on campus,undergraduate"
Family mediation - what happens? Wendy's story.,"Family mediation - what happens? View Wendy's story (voiced by an actor) from the Mapping Paths to Family Justice study.

The Mapping Paths to Family Justice Project aimed to provide critical evidence about the usage, experience and outcomes of Alternative Dispute Resolution (ADR) in family law.
Watch our video ‘Considering Mediation? What you need to know’ here: https://www.youtube.com/watch?v=RkTz_9AM3Mo  

Read more about the project here: http://socialsciences.exeter.ac.uk/law/research/groups/frs/projects/mappingpathstofamilyjustice/",152,4,0,,"family mediation,mediation,divorce,exeter,child arrangements,separation"
How does family mediation work? Kim's story.,"How does family mediation work? View Kim’s story (voiced by an actor) from the Mapping Paths to Family Justice study.

The Mapping Paths to Family Justice Project aimed to provide critical evidence about the usage, experience and outcomes of Alternative Dispute Resolution (ADR) in family law.

Watch our video ‘Considering Mediation? What you need to know’ here: https://www.youtube.com/watch?v=RkTz_9AM3Mo  

Read more about the project here: http://socialsciences.exeter.ac.uk/law/research/groups/frs/projects/mappingpathstofamilyjustice/",217,2,0,,"exeter,mediation,family law,child arrangements,divorce,separation,family mediation"
What is involved in family mediation? Ernest's story.,"What is involved in family mediation? View Ernest's story (voiced by an actor) from the Mapping Paths to Family Justice study.

The Mapping Paths to Family Justice Project aimed to provide critical evidence about the usage, experience and outcomes of Alternative Dispute Resolution (ADR) in family law.
Watch our video ‘Considering Mediation? What you need to know’ here: https://www.youtube.com/watch?v=RkTz_9AM3Mo  

Read more about the project here: http://socialsciences.exeter.ac.uk/law/research/groups/frs/projects/mappingpathstofamilyjustice/",91,1,0,,"exeter,mediation,family law,family mediation,divorce,child arrangements,separation"
How family mediation helps -  Eleanor's story.,"How family mediation helps. View Eleanor's story (voiced by an actor) from the Mapping Paths to Family Justice study.

The Mapping Paths to Family Justice Project aimed to provide critical evidence about the usage, experience and outcomes of Alternative Dispute Resolution (ADR) in family law.
Watch our video ‘Considering Mediation? What you need to know’ here: https://www.youtube.com/watch?v=RkTz_9AM3Mo  

Read more about the project here: http://socialsciences.exeter.ac.uk/law/research/groups/frs/projects/mappingpathstofamilyjustice/",90,0,0,,"exeter,mediation,family law,divorce,separation,child arrangements,family mediation"
The family mediation process - Brenda's story,"The family mediation process. View Brenda's story (voiced by an actor) from the Mapping Paths to Family Justice study.

The Mapping Paths to Family Justice Project aimed to provide critical evidence about the usage, experience and outcomes of Alternative Dispute Resolution (ADR) in family law.
Watch our video ‘Considering Mediation? What you need to know’ here: https://www.youtube.com/watch?v=RkTz_9AM3Mo  

Read more about the project here: http://socialsciences.exeter.ac.uk/law/research/groups/frs/projects/mappingpathstofamilyjustice/",136,1,0,,"mediation,exeter,family law,separation,divorce,child arrangements"
Student experience in Cornwall - Choose Exeter,"Find out more about studying and living at the University of Exeter's Penryn Campus: http://www.exeter.ac.uk/cornwall/studying/

Lydia is 3rd year Geography Student whose student experience in Cornwall has been ""perfect"" (her words not ours!). Why not take a look for yourself...",2060,17,1,0,"university,education,cornwall,university of exeter,geography,student,student life,student experience"
Opportunities and Peer Support at University – Choose Exeter,"Find out more: http://www.exeter.ac.uk/chooseexeter
With lots of opportunities at University, It can be difficult to know
what to do. We asked Costa to explain a little about the
opportunities and support that are available at Exeter.
Costa works in three jobs for the university as well as
numerous societies.",188,0,0,0,"university,uni,Exeter,Cornwall,University of Exeter,St Lukes,Choose Exeter,South West,TEF,TEF Gold,student,campus,on campus,accommodation,residential,residence,lecture,class,seminar,reading,meeting,research,degree,wellbeing,academic,learn,study,societies,united-nations,job,employment,ambassador,support,opportunities,society,social,friends,coding,streatham,undergraduate"
Getting involved on Campus as a Disabled Student – Choose Exeter,"Find out more: http://www.exeter.ac.uk/chooseexeter
The support available at the University of Exeter has helped
students, Dan and Cathryn, settle in and make the most of their
time at uni — from running societies to academic success.",317,3,0,0,"university,uni,Exeter,Cornwall,University of Exeter,St Lukes,Choose Exeter,South West,TEF,TEF Gold,student,campus,on campus,accommodation,residential,residence,lecture,class,seminar,reading,meeting,research,degree,wellbeing,academic,learn,study,exam,AccessAbility,support,support network,assistance,disabled,disability,social,friends,Students’ Guild,students’ union,Dyspraxia,Dyslexia,streatham,undergraduate"
University of Exeter Chapel Choir sing the Twelve Days of Christmas,University of Exeter Chapel Choir sing the Twelve Days of Christmas,697,5,0,1,"choir,chapel choir,singing,music,christmas,twelve days of christmas,university"
Making the most of your time at University – Choose Exeter,"Find out more: http://www.exeter.ac.uk/chooseexeter
With lots of opportunities at university, It can be difficult to
balance work and study. We asked Niamh and Lara to explain
how they managed to fit everything into their schedules.
Niamh balances her academic work at university with a social
life and being involved in lots of societies. Lara spends a lot of
her time with the cheerleading society and hanging out with
friends.",410,4,0,0,"university,uni,Exeter,Cornwall,University of Exeter,St Lukes,Choose Exeter,South West,TEF,TEF Gold,student,campus,on campus,accommodation,residential,residence,lecture,class,seminar,reading,meeting,research,degree,wellbeing,academic,learn,study,exam,routine,internship,employment,job,cheer,cheerleader,society,social,friends,opportunity,streatham,undergraduate"
"Neil Woodford CBE, Honorary Graduate","Neil Woodford CBE, founder of Woodford Investment Management, shares his message for the Class of 2018",435,2,1,2,
"Jeremy Hughes CBE, Honorary Graduate","Jeremy Hughes CBE, Chief Executive of the Alzheimer's Society shares his message for the Class of 2018",46,0,1,0,
"Honorary graduate, Adama Dieng","Adama Dieng, United Nations Under-Secretary-General and Special Adviser of the Secretary-General on the Prevention of Genocide, receives his honorary degree from Exeter in December 2018.",180,5,0,0,"university of exeter,honorary degree,graduation"
Why study MSc Conservation and Biodiversity at The University of Exeter’s Penryn Campus?,Find out more about studying MSc Conservation and Biodiversity at The University of Exeter’s Penryn Campus.,115,1,0,0,"Exeter,University of Exeter,Exeter university,Cornwall,Cornwall campus,Penryn,Postgraduate,study,conservation,bioviversity,student,campus,student life,campus life,uni life"
"University of Exeter, Penryn Campus - Book your place on one of our Offer-Holder Visit Days today",,479,3,1,0,
Why study Biosciences at the University of Exeter’s Penryn Campus?,Find out what it's like to study Biosciences at the University of Exeter’s Penryn Campus.,450,2,0,0,"exeter,university of exeter,exeter university,exeter uni,cornwall campus,cornwall,penryn campus,penryn,studying,biosciences,student,student life,uni life,campus life,university,clearing,university clearing"
Support at University (Rebecca's story) - Choose Exeter,"Find out more: http://www.exeter.ac.uk/chooseexeter
Rebecca is in her third year studying Sociology at the University of Exeter. In her first year she almost quit university as she was suffering from an undiagnosed condition called fibromyalgia.
After being diagnosed, Rebecca got help from the University’s
AccessAbility group, which provided wellbeing support as well
as academic assistance. This support has helped Rebecca turn
her life around and flourish at university.",1006,16,2,0,"university,uni,Exeter,Cornwall,University of Exeter,St Lukes,Choose Exeter,South West,TEF,TEF Gold,student,campus,on campus,accommodation,residential,residence,lecture,class,seminar,research,degree,AccessAbility,support,support network,assistance,disabled,disability,fibromyalgia,FMS,worry,medical,financial aid,wellbeing,academic,learn,exam,internship,streatham,sociology,undergraduate"
"Sustainable Packaging Day, Penryn Campus","A thought-provoking film by Nina Constable Media summarising Unlocking Potential's recent Sustainable Packaging Day which we were proud to be apart of and host on our Penryn Campus, Cornwall.  

A massive thank you to everyone involved including Beach Guardian, Seasalt Cornwall & many others. Lets continue to reduce, re-use and eliminate plastics.

For more information please visit: http://www.exeter.ac.uk/cornwall/business/iibcornwall/",123,2,0,0,"sustainability,environment,educational,cornwall,university of exeter,sustainable"
"Geology at the University of Exeter's Penryn Campus, Cornwall",Find out what it's like to study Geology at our Penryn Campus in Cornwall. Find out more at http://www.exeter.ac.uk/undergraduate/degrees/geology/,1043,4,0,2,"geology,exeter,exeter uni,university,earth science,field work,university of exeter,cornwall,penryn,cornwall campus,penryn campus,studying,student,student life,uni life,campus life,Exeter university,clearing,university clearing"
"Becca, Research Student",,217,0,0,0,
"Titilayo, Research Student",,71,0,0,0,
"Nick, Politics Research Student",,147,0,0,0,
"Kiran, Politics Research Student",,123,0,0,0,"Exeter,PhD,research student,research degree,Politics"
"Raluca, Politics Research Student",,91,2,0,0,"Phd,Exeter,University of Exeter,research degree,Politics,Qstep"
"Campus tour of the University of Exeter, Penryn Campus",Explore our Penryn Campus in Cornwall from the sky.,16396,54,3,3,"University of Exeter,Exeter,Exeter University,Cornwall,University in Cornwall,Exeter Uni,Cornwall Campus,Penryn Campus"
Winter Graduation Ceremonies,,158,1,3,0,"university of exeter,live event,graduation"
Because of the GSI I can...,University of Exeter researchers explain what the Global Systems Institute will help them to achieve.,64,0,0,0,
The Mission of the GSI,"Professor Tim Lenton, Director of the Global Systems Institute, explains the mission of the institute.",48,0,0,0,
Data Systems,Professor Tim Lenton talks about his work with Professor Gavin Shaddick looking at how data science can help in the fight against climate change.,101,3,0,0,
Sustainable communities,Professor Neil Adger talks about his research into sustainable communities and the potential for the new Global Systems Institute.,122,1,0,0,"University of Exeter,research,global,climate,collaboration,sustainability"
Carbon capture research at the GSI,Dr Tom Powell and Dr Anna Harper talk about their research helping to reduce carbon emissions in line with the Paris Climate Agreement.,116,1,0,0,"University of Exeter,research,global,climate,collaboration,sustainability"
Supporting the GSI,"Professor Tim Lenton, Director of the Global Systems Institute, explains how businesses and individuals can help play a part in achieving its vision.",49,0,0,0,"University of Exeter,research,global,climate,collaboration,sustainability"
What is the GSI?,Professor Tim Lenton introduces the Global Systems Institute and its aims for the future.,387,4,0,0,"University of Exeter,research,global,climate,collaboration,sustainability"
Computer Science at Exeter,What's it like to study Computer Science at the University of Exeter?,26283,5,1,0,"exeter,university,computing,data,datascience,it,university of exeter,undergraduate,exeter uni,student life,studying,clearing,university clearing,campus life,undergraduate physics,exeter university,Computer science,Exeter uni"
Engineering at Exeter (30 seconds),What's it like stundying Engineering at Exeter?,21920,2,0,0,"exeter,exeteruni,university,engineering,mechancial engineering,civil engineering,entrepreneurship,Exeter university,university of exeter,Exeter Uni,Student Life,Campus life"
